Name,Purpose,Cost Per Item (USD),Quantity,Total (USD),Link,Distributor
"10µF capacitor","medium-speed voltage drops or i would say a mid-rage decoupling capacitor",0.85,1,0.85,"https://www.amazon.in/gp/product/B08X2NSPZN/ref=sw_img_1?smid=A2JDRZEGU1IDE2&psc=1","Amazon"
"0.1µF capacitor","decoupling capacitor",0.85,1,0.85,"https://www.amazon.in/0-1uF-104-Ceramic-Capacitor-Pack/dp/B0F5MYTYQ3/ref=sr_1_1?s=industrial&sr=1-1","Amazon"
"100µF capacitor","power smoothing, bulk capacitor",1.06,1,1.06,"https://www.amazon.in/KITS4CREATORS-Electrolytic-Capacitor-Aluminum-Capacitors/dp/B0FDFBW736/ref=sr_1_3?sr=8-3","Amazon"
"4.7k ohm resistor","pull-up resistors for camera ",0.70,1,0.70,"https://www.amazon.in/KITS4CREATORS-Resistors-Professional-Electronics-Components/dp/B0G4H6LPKS/ref=sr_1_2?s=industrial&sr=1-2","Amazon"
"10k ohm resistor","to protect the switches from over heating",0.86,1,0.86,"https://www.amazon.in/gp/product/B0BDFY336L/ref=sw_img_1?smid=A1UUD7CBBVVXIG","Amazon"
"JS202011AQN","power on button ",0.77,1,0.77,"https://www.digikey.com/ordering/shoppingcart","Digikey"
"Tactile Push Button Switch 6x6x5 (Pack of 10)","push buttons",0.15,1,0.15,"https://robu.in/product/6x6x5-tactile-push-button-switch/","robu.in"
"JST PH 2-pin ","connector for battery",1.28,1,1.28,"https://www.amazon.in/Electromix-Connector-Plugs-Female-Cables/dp/B0DPT2WSFJ/ref=sr_1_5?nsdOptOutParam=true&sr=8-5","Amazon"
"LiPo battery 3.7V","its my battery for power supply",3.12,1,3.12,"https://robu.in/product/450mah-pcm-protected-micro-li-po-battery/","Robu.in"
"2.54mm ","to connect components to pcb",0.05,1,0.05,"https://robu.in/product/2-54mm-1x40-pin-male-single-row-straight-short-header-strip-pack-of-3/","robu.in"
"micro-SD card breakout board + sd card","to store memories(photos)",42.12,1,42.12,"https://www.amazon.in/cart?ref_=sw_gtc","Amazon"
"OV2640 camera board","to capture memories",10.73,1,10.73,"https://hubtronics.in/index.php?route=checkout/cart","Hubtronics"
"Electromix JST 2.0 MM PH Pin Connector Plugs, Female & Male, with 150mm Cables (2 - Pin)","connects battery to my camera ",2.50,1,2.50,"https://www.amazon.in/gp/product/B0DPT2WSFJ/ref=ox_sc_act_title_1?smid=A1UTOICHZAX6HW","amazon"
" 2 Pin JST PH 2mm Side Entry Header Right Angle","connector for my battery",0.20,1,0.20,"https://probots.co.in/checkout/cart/","Probots india"
"SPI TFT 0.96""LCD Display Module 160x80 IPS ST7735","Display ",6.00,1,6.00,"https://thinkrobotics.com/products/0-96-inch-7pin-full-color-80-160-tft-lcd-ips-screen?variant=28238451015752","thinkrobotics"
"ESP32-S3-WROOM-1-N8R2 WiFi Bluetooth Module 8MB Flash 2MB PSRAM PCB Antenna","micro-controller",4.00,1,4.00,"https://evelta.com/cart.php","Evelta"